timestamp,container_cpu_usage_seconds_total,container_memory_working_set_bytes,container_memory_failures_total,kube_pod_container_resource_requests_cpu,kube_pod_container_resource_requests_memory,kube_pod_container_resource_limits_cpu,kube_pod_container_resource_limits_memory,kube_pod_status_phase,kube_pod_container_status_restarts_total,derived_usage_vs_limit,derived_pressure_throttled_ratio,derived_cpu_volatility_5m,derived_cpu_volatility_10m,namespace,pod,container,node
2026-04-16 18:00:04+00:00,0.7197459620665215,430080.0,357710.2544052663,0.5,268435456.0,2.0,536870912.0,1.0,0.0,0.35987298103326076,0.0,0.1880810537254585,0.16760628308593906,test-workload,stress-test-app-547889cbb9-gb5qb,stress-container,pipeline-test-worker2
2026-04-16 18:01:04+00:00,0.8760037726331693,606208.0,344525.9407938292,0.5,268435456.0,2.0,536870912.0,1.0,0.0,0.43800188631658465,0.0,0.1742230103219803,0.1711780118315661,test-workload,stress-test-app-547889cbb9-gb5qb,stress-container,pipeline-test-worker2
2026-04-16 18:02:04+00:00,1.2132968236027204,618496.0,281047.8307177325,0.5,268435456.0,2.0,536870912.0,1.0,0.0,0.6066484118013602,0.0,0.20703513861415676,0.18639636682649063,test-workload,stress-test-app-547889cbb9-gb5qb,stress-container,pipeline-test-worker2
2026-04-16 18:03:04+00:00,0.9969326399802417,175255552.0,139919.60787004948,0.5,268435456.0,2.0,536870912.0,1.0,0.0,0.49846631999012087,0.0,0.20244493734329672,0.1824955012835318,test-workload,stress-test-app-547889cbb9-gb5qb,stress-container,pipeline-test-worker2
2026-04-16 18:04:04+00:00,1.0703444251902035,143151104.0,183594.14435006323,0.5,268435456.0,2.0,536870912.0,1.0,0.0,0.5351722125951017,0.0,0.1879571113105932,0.15935765921437842,test-workload,stress-test-app-547889cbb9-gb5qb,stress-container,pipeline-test-worker2
2026-04-16 18:05:04+00:00,1.1555803595539627,41144320.0,338412.81734615617,0.5,268435456.0,2.0,536870912.0,1.0,0.0,0.5777901797769813,0.0,0.13280160812469305,0.15444347936186503,test-workload,stress-test-app-547889cbb9-gb5qb,stress-container,pipeline-test-worker2
2026-04-16 18:06:04+00:00,0.7346430403373699,880640.0,349037.9024703443,0.5,268435456.0,2.0,536870912.0,1.0,0.0,0.36732152016868497,0.0,0.18657337924336048,0.1737290736601329,test-workload,stress-test-app-547889cbb9-gb5qb,stress-container,pipeline-test-worker2
2026-04-16 18:07:04+00:00,0.8594713645461151,618496.0,342705.9324048269,0.5,268435456.0,2.0,536870912.0,1.0,0.0,0.42973568227305753,0.0,0.16779879791306657,0.17942932234946568,test-workload,stress-test-app-547889cbb9-gb5qb,stress-container,pipeline-test-worker2
2026-04-16 18:08:04+00:00,1.1776780951853416,430080.0,290319.20461941086,0.5,268435456.0,2.0,536870912.0,1.0,0.0,0.5888390475926708,0.0,0.19421937545541929,0.18706452831120404,test-workload,stress-test-app-547889cbb9-gb5qb,stress-container,pipeline-test-worker2
2026-04-16 18:09:04+00:00,0.9966736083103285,267939840.0,131282.40612473214,0.5,268435456.0,2.0,536870912.0,1.0,0.0,0.49833680415516424,0.0,0.19025945724624538,0.17836725348553925,test-workload,stress-test-app-547889cbb9-gb5qb,stress-container,pipeline-test-worker2
